Original: 82.0, Binary: 0b1010010, Hex: 0x52
Original: 6980368.0, Binary: 0b11010101000001100010000, Hex: 0x6a8310
Original: 5517055.0, Binary: 0b10101000010111011111111, Hex: 0x542eff
Original: 1336159.0, Binary: 0b101000110001101011111, Hex: 0x14635f
Original: 6750185.0, Binary: 0b11001101111111111101001, Hex: 0x66ffe9
Original: 1771937.0, Binary: 0b110110000100110100001, Hex: 0x1b09a1
Original: 360952.0, Binary: 0b1011000000111111000, Hex: 0x581f8
Original: 5672561.0, Binary: 0b10101101000111001110001, Hex: 0x568e71
Original: 916583.0, Binary: 0b11011111110001100111, Hex: 0xdfc67
Original: 2700138.0, Binary: 0b1010010011001101101010, Hex: 0x29336a
Original: 9645053.0, Binary: 0b100100110010101111111101, Hex: 0x932bfd
Original: 1181110.0, Binary: 0b100100000010110110110, Hex: 0x1205b6
Original: 1492185.0, Binary: 0b101101100010011011001, Hex: 0x16c4d9
Original: 4018595.0, Binary: 0b1111010101000110100011, Hex: 0x3d51a3
Original: 7654888.0, Binary: 0b11101001100110111101000, Hex: 0x74cde8
Original: 7062453.0, Binary: 0b11010111100001110110101, Hex: 0x6bc3b5
Original: 2478010.0, Binary: 0b1001011100111110111010, Hex: 0x25cfba
Original: 6134768.0, Binary: 0b10111011001101111110000, Hex: 0x5d9bf0
Original: 8420417.0, Binary: 0b100000000111110001000001, Hex: 0x807c41
Original: 2917489.0, Binary: 0b1011001000010001110001, Hex: 0x2c8471
Original: 3340773.0, Binary: 0b1100101111100111100101, Hex: 0x32f9e5
Original: 1115956.0, Binary: 0b100010000011100110100, Hex: 0x110734
Original: 9172192.0, Binary: 0b100010111111010011100000, Hex: 0x8bf4e0
Original: 6271996.0, Binary: 0b10111111011001111111100, Hex: 0x5fb3fc
Original: 8686939.0, Binary: 0b100001001000110101011011, Hex: 0x848d5b
Original: 50986.0, Binary: 0b1100011100101010, Hex: 0xc72a
Original: 9376410.0, Binary: 0b100011110001001010011010, Hex: 0x8f129a
Original: 5962327.0, Binary: 0b10110101111101001010111, Hex: 0x5afa57
Original: 7686891.0, Binary: 0b11101010100101011101011, Hex: 0x754aeb
Original: 6615183.0, Binary: 0b11001001111000010001111, Hex: 0x64f08f
Original: 1864844.0, Binary: 0b111000111010010001100, Hex: 0x1c748c
Original: 3329962.0, Binary: 0b1100101100111110101010, Hex: 0x32cfaa
Original: 3942794.0, Binary: 0b1111000010100110001010, Hex: 0x3c298a
Original: 2614836.0, Binary: 0b1001111110011000110100, Hex: 0x27e634
Original: 7406772.0, Binary: 0b11100010000010010110100, Hex: 0x7104b4
Original: 2384190.0, Binary: 0b1001000110000100111110, Hex: 0x24613e
Original: 398347.0, Binary: 0b1100001010000001011, Hex: 0x6140b
Original: 8698503.0, Binary: 0b100001001011101010000111, Hex: 0x84ba87
Original: 9551696.0, Binary: 0b100100011011111101010000, Hex: 0x91bf50
Original: 1019556.0, Binary: 0b11111000111010100100, Hex: 0xf8ea4
Original: 1677430.0, Binary: 0b110011001100001110110, Hex: 0x199876
Original: 3479629.0, Binary: 0b1101010001100001001101, Hex: 0x35184d
Original: 9309008.0, Binary: 0b100011100000101101010000, Hex: 0x8e0b50
Original: 5266170.0, Binary: 0b10100000101101011111010, Hex: 0x505afa
Original: 4094340.0, Binary: 0b1111100111100110000100, Hex: 0x3e7984
Original: 1754055.0, Binary: 0b110101100001111000111, Hex: 0x1ac3c7
Original: 5861132.0, Binary: 0b10110010110111100001100, Hex: 0x596f0c
Original: 4471329.0, Binary: 0b10001000011101000100001, Hex: 0x443a21
Original: 8826052.0, Binary: 0b100001101010110011000100, Hex: 0x86acc4
Original: 7469325.0, Binary: 0b11100011111100100001101, Hex: 0x71f90d
Original: 1973172.0, Binary: 0b111100001101110110100, Hex: 0x1e1bb4
Original: 53145.0, Binary: 0b1100111110011001, Hex: 0xcf99
Original: 3897508.0, Binary: 0b1110110111100010100100, Hex: 0x3b78a4
Original: 7773386.0, Binary: 0b11101101001110011001010, Hex: 0x769cca
Original: 6089829.0, Binary: 0b10111001110110001100101, Hex: 0x5cec65
Original: 4223424.0, Binary: 0b10000000111000111000000, Hex: 0x4071c0
Original: 9761752.0, Binary: 0b100101001111001111011000, Hex: 0x94f3d8
Original: 7930799.0, Binary: 0b11110010000001110101111, Hex: 0x7903af
Original: 3597495.0, Binary: 0b1101101110010010110111, Hex: 0x36e4b7
Original: 9302948.0, Binary: 0b100011011111001110100100, Hex: 0x8df3a4
Original: 2288712.0, Binary: 0b1000101110110001001000, Hex: 0x22ec48
Original: 197187.0, Binary: 0b110000001001000011, Hex: 0x30243
Original: 5266939.0, Binary: 0b10100000101110111111011, Hex: 0x505dfb
Original: 221545.0, Binary: 0b110110000101101001, Hex: 0x36169
Original: 7957027.0, Binary: 0b11110010110101000100011, Hex: 0x796a23
Original: 3195361.0, Binary: 0b1100001100000111100001, Hex: 0x30c1e1
Original: 7106269.0, Binary: 0b11011000110111011011101, Hex: 0x6c6edd
Original: 9633312.0, Binary: 0b100100101111111000100000, Hex: 0x92fe20
Original: 9713704.0, Binary: 0b100101000011100000101000, Hex: 0x943828
Original: 91925.0, Binary: 0b10110011100010101, Hex: 0x16715
Original: 4418686.0, Binary: 0b10000110110110001111110, Hex: 0x436c7e
Original: 9682250.0, Binary: 0b100100111011110101001010, Hex: 0x93bd4a
Original: 2583824.0, Binary: 0b1001110110110100010000, Hex: 0x276d10
Original: 4979126.0, Binary: 0b10010111111100110110110, Hex: 0x4bf9b6
Original: 6280954.0, Binary: 0b10111111101011011111010, Hex: 0x5fd6fa
Original: 1228610.0, Binary: 0b100101011111101000010, Hex: 0x12bf42
Original: 705518.0, Binary: 0b10101100001111101110, Hex: 0xac3ee
Original: 1017653.0, Binary: 0b11111000011100110101, Hex: 0xf8735
Original: 500098.0, Binary: 0b1111010000110000010, Hex: 0x7a182
Original: 7210727.0, Binary: 0b11011100000011011100111, Hex: 0x6e06e7
Original: 4250898.0, Binary: 0b10000001101110100010010, Hex: 0x40dd12
Original: 4055028.0, Binary: 0b1111011101111111110100, Hex: 0x3ddff4
Original: 2754240.0, Binary: 0b1010100000011011000000, Hex: 0x2a06c0
Original: 452999.0, Binary: 0b1101110100110000111, Hex: 0x6e987
Original: 6831458.0, Binary: 0b11010000011110101100010, Hex: 0x683d62
Original: 207636.0, Binary: 0b110010101100010100, Hex: 0x32b14
Original: 7280635.0, Binary: 0b11011110001011111111011, Hex: 0x6f17fb
Original: 3308937.0, Binary: 0b1100100111110110001001, Hex: 0x327d89
Original: 4303570.0, Binary: 0b10000011010101011010010, Hex: 0x41aad2
Original: 8375055.0, Binary: 0b11111111100101100001111, Hex: 0x7fcb0f
Original: 1457960.0, Binary: 0b101100011111100101000, Hex: 0x163f28
Original: 5197625.0, Binary: 0b10011110100111100111001, Hex: 0x4f4f39
Original: 3144371.0, Binary: 0b1011111111101010110011, Hex: 0x2ffab3
Original: 6674138.0, Binary: 0b11001011101011011011010, Hex: 0x65d6da
Original: 2692106.0, Binary: 0b1010010001010000001010, Hex: 0x29140a
Original: 2276769.0, Binary: 0b1000101011110110100001, Hex: 0x22bda1
Original: 1940971.0, Binary: 0b111011001110111101011, Hex: 0x1d9deb
Original: 3288264.0, Binary: 0b1100100010110011001000, Hex: 0x322cc8
Original: 4819803.0, Binary: 0b10010011000101101011011, Hex: 0x498b5b
Original: 9431005.0, Binary: 0b100011111110011111011101, Hex: 0x8fe7dd
Original: 3992019.0, Binary: 0b1111001110100111010011, Hex: 0x3ce9d3
Original: 8184782.0, Binary: 0b11111001110001111001110, Hex: 0x7ce3ce
Original: 2847975.0, Binary: 0b1010110111010011100111, Hex: 0x2b74e7
Original: 7891025.0, Binary: 0b11110000110100001010001, Hex: 0x786851
Original: 900082.0, Binary: 0b11011011101111110010, Hex: 0xdbbf2
Original: 1831532.0, Binary: 0b110111111001001101100, Hex: 0x1bf26c
Original: 8428253.0, Binary: 0b100000001001101011011101, Hex: 0x809add
Original: 2905752.0, Binary: 0b1011000101011010011000, Hex: 0x2c5698
Original: 9763121.0, Binary: 0b100101001111100100110001, Hex: 0x94f931
Original: 257890.0, Binary: 0b111110111101100010, Hex: 0x3ef62
Original: 4699761.0, Binary: 0b10001111011011001110001, Hex: 0x47b671
Original: 359541.0, Binary: 0b1010111110001110101, Hex: 0x57c75
Original: 3446150.0, Binary: 0b1101001001010110000110, Hex: 0x349586
Original: 4246818.0, Binary: 0b10000001100110100100010, Hex: 0x40cd22
Original: 1848840.0, Binary: 0b111000011011000001000, Hex: 0x1c3608
Original: 938480.0, Binary: 0b11100101000111110000, Hex: 0xe51f0
Original: 227465.0, Binary: 0b110111100010001001, Hex: 0x37889
Original: 3923488.0, Binary: 0b1110111101111000100000, Hex: 0x3bde20
Original: 8915697.0, Binary: 0b100010000000101011110001, Hex: 0x880af1
